month,new_logos,churn_rate_m,expansion_rate_m,price_step,attach_rate,arpa_insights,acv_new,units_per_platform_customer,units_per_insights_customer,cloud_unit_price,cloud_fixed,commit_units,commit_discount,third_party_pct,payment_pct,annual_share,dso_days,commission_pct,marketing_programs,rd_contractors,rd_tooling_per_head,ga_software_per_head,ga_fixed,financing
2025-07,10.0,0.008678835179498953,0.010299550494831576,0.0,0.186,12830.18598665114,35700.0,201.47935224899828,1480.414871297021,0.43041622151670805,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,280000.0,55000.0,450.0,180.0,72000.0,0.0
2025-08,9.0,0.008761303308726615,0.008961288893110481,0.0,0.192,12958.487846517652,35700.0,202.20470361638075,1455.9603097189115,0.42955538907367463,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,252000.0,55000.0,450.0,180.0,72000.0,0.0
2025-09,13.0,0.008683987522386994,0.00938777463469158,0.0,0.198,13088.072724982829,35700.0,205.20605040006453,1531.963784874733,0.42869627829552726,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,364000.0,55000.0,450.0,180.0,72000.0,0.0
2025-10,12.0,0.008889359042621909,0.00917812920076313,0.0,0.20400000000000001,13218.953452232658,35700.0,197.50653213244638,1530.3034780010225,0.42783888573893625,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,336000.0,55000.0,450.0,180.0,72000.0,0.0
2025-11,13.0,0.008842189842979721,0.009978562490356075,0.0,0.21000000000000002,13351.142986754985,35700.0,195.64912444395256,1460.817791447813,0.4269832079674584,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,364000.0,55000.0,450.0,180.0,72000.0,0.0
2025-12,15.0,0.008833287952513003,0.009167107669126585,0.0,0.21600000000000003,13484.654416622534,35700.0,204.06427175208285,1463.4877219283328,0.4261292415515235,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,420000.0,55000.0,450.0,180.0,72000.0,0.0
2026-01,9.0,0.011834042502965277,0.008158889067276008,0.06,0.22100000000000003,13619.50096078876,37842.00000000001,201.2446675594588,1537.5793708180438,0.42527698306842043,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,276300.0,60000.0,450.0,180.0,75000.0,0.0
2026-02,11.0,0.0110286599913059,0.008600495058659051,0.0,0.22600000000000003,13755.695970396648,37842.00000000001,197.25753781780531,1521.484758488143,0.4244264291022836,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,337700.0,60000.0,450.0,180.0,75000.0,0.0
2026-03,13.0,0.011857598651046382,0.009210235690089363,0.0,0.23100000000000004,13893.252930100614,37842.00000000001,195.56200137296727,1998.148532740797,0.42357757624407905,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,399100.0,60000.0,450.0,180.0,75000.0,25000000.0
2026-04,12.0,0.011099604547760142,0.008879072834753933,0.0,0.23600000000000004,14032.18545940162,37842.00000000001,196.43201291867638,1955.0691801080734,0.4227304210915909,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,368400.0,60000.0,450.0,180.0,75000.0,0.0
2026-05,14.0,0.010834285654745266,0.008340419570719609,0.0,0.24100000000000005,14172.507313995638,37842.00000000001,198.4506556484538,2014.347158185093,0.4218849602494077,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,549800.0,60000.0,450.0,180.0,75000.0,0.0
2026-06,13.0,0.011057049941795398,0.008985134786761174,0.0,0.24600000000000002,14314.232387135595,37842.00000000001,198.44899415109853,2008.5186244683957,0.4210411903289089,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,399100.0,60000.0,450.0,180.0,75000.0,0.0
2026-07,11.0,0.00987181386021129,0.006990353611031318,0.0,0.251,14457.374711006953,37842.00000000001,196.6962456807599,1952.1284751690312,0.4201991079482511,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,337700.0,60000.0,450.0,180.0,75000.0,0.0
2026-08,12.0,0.009699311636419902,0.007945630657163801,0.0,0.256,14601.948458117022,37842.00000000001,202.23818862336213,2011.0482445781677,0.41935870973235456,28000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,368400.0,60000.0,450.0,180.0,75000.0,0.0
